,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,InvokeStaticICCE,0.5293468,0.85163254,0.00082663825,-0.60146004,0.9392608,-0.572744,-0.6868666,-0.38856226,-0.3311963,0.15650152,-0.3652075,-0.539969,0.103467174,-0.10065877,-0.38418883,0.24382643,-0.31186575,0.18090782,0.240474,1.6403732,0.23225279,-0.33879837,-0.45908812,-0.63275737,0.5348422,-0.32726452,-0.5298242,0.27673838,-0.30561268,-0.5960963,-0.3139505,-0.6037572,0.24748734,-0.2534978,-0.48850644,-0.43696436,-0.03220293,-0.4835251,-0.44510853,-0.362028,-0.35868055,-0.09635937,-0.2347351,-0.32653362,2.5803523,0.46229154,-0.59487796,3.502749,-0.42912635,0.1584987,0.15619847,2.9497452,0.111353874,-0.4305278,-0.1824803,-0.45686078,1.1072443,-0.4141018,-0.16453004,-0.08730789,0.71634144,-0.057663314,0.5723859,-0.38339394,-0.30580327,-0.3203441,-0.55592215,-0.25066814,-0.38039726,-0.55051374,0.27175415,-0.34831354,-0.27809885,2.1727567,1.3297695,-0.52793723,2.282251,-0.6296055,-0.49381372,0.24750149,1.1839379,-0.29575056,-0.42388108,-0.42593023,-0.3212044,-0.4309394,-0.20295693,1.7973497,-0.33518782,0.5462859,-0.24775268,0.7431059,-0.02545011,0.55083513,1.8614504,-0.3072893,0.9679678,1.7734723,0.016867077,-0.7182797
1,G1AddMetaspaceDependency,0.35413468,0.8471031,1.0118867,-0.04165098,0.14550668,-0.71793145,-0.4182794,-0.5175494,-0.5061939,-0.03878179,-0.48669446,-0.3989701,0.9944995,-0.18845202,-0.5486512,0.64213204,-0.37945622,0.49652776,-0.10437437,1.1352565,1.463312,-0.3140378,-0.6815764,-0.7034006,0.32697517,-0.35558617,-0.31476346,0.17248282,-0.35928547,-0.65851206,-0.35719943,-0.5083605,-0.029498205,-0.2604296,-0.40268055,-0.41117227,-0.014818262,-0.1810151,-0.7633341,-0.6936223,-0.38434273,-0.23477532,-0.32161975,0.34144467,1.8055441,0.9368205,-0.6499856,1.9034352,-0.39327863,0.60486007,1.7358329,1.7601007,1.0598619,-0.31167862,-0.12855084,-0.62312824,0.02878717,-0.03074858,-0.35082218,0.36234483,0.23435766,0.36531764,0.24383122,-0.34464094,-0.26041728,0.03513987,-0.39272827,-0.2124077,-0.37586862,-0.68859565,0.409224,-0.6550538,-0.3750522,1.1695937,0.95864564,-0.5481394,1.0492284,-0.75226164,-0.46267903,0.29173285,1.0523015,-0.20140643,-0.47703844,-0.5299109,-0.14560418,-0.6121594,-0.31378588,1.2317454,0.5989908,0.8258025,-0.34899276,0.5536825,-0.17307623,0.66146547,1.548909,-0.38778743,0.7112052,1.391135,0.07049565,-0.89105654
2,NoSuchMethodErrorTest,0.9002881,0.758795,0.35205558,-0.28832832,0.65281075,-0.582497,-0.51712674,-0.41215897,-0.35609445,0.17742367,-0.33442336,-0.5264629,0.6157344,-0.07998122,-0.3157964,0.3004487,-0.31180736,0.3990847,0.21079911,1.5259995,0.16233128,-0.3756135,-0.305944,-0.6455942,0.5864912,-0.24579962,-0.4613485,0.052039325,-0.26047662,-0.60831815,-0.14393057,-0.5742154,0.16664597,-0.2534552,-0.45131525,-0.33053187,0.111171424,-0.481696,-0.5726186,-0.37785384,-0.35297686,-0.16794331,-0.28195196,-0.041290984,2.5028417,0.37140036,-0.55637836,2.69251,-0.45813182,0.3805122,0.29402414,2.7259724,0.8782977,-0.3292061,-0.1653297,-0.4780741,0.77259827,-0.010349456,-0.19294429,0.3046409,0.48298225,-0.085300714,0.5637808,-0.16701229,-0.18120524,-0.21506423,-0.48890436,-0.08111811,-0.38909766,-0.5728302,0.05770452,-0.38504452,-0.25110525,2.0337534,1.1868154,-0.6416731,2.1385486,-0.57691413,-0.43828237,0.09649364,1.4243193,-0.223363,-0.41362938,-0.43697283,-0.27415562,-0.46875307,-0.22488,1.8075085,-0.36220682,0.86556077,-0.15609847,0.6766071,0.021499306,0.4873041,1.5819975,-0.31539005,0.81627977,2.0549614,-0.03165391,-0.74404734
3,compiler.codegen.Test6875866,0.7582206,0.9737348,0.44867885,-0.09759974,0.2929909,-0.61924577,-0.46942922,-0.3779216,-0.4652059,0.009027096,-0.38147172,-0.018326193,0.993035,-0.17179303,-0.48439416,0.46546546,-0.17463039,0.54211533,0.008073226,1.2206295,0.97334754,-0.43335217,-0.5033308,-0.6744655,0.67230606,-0.27603903,-0.38499492,0.21284363,-0.34792376,-0.4132687,-0.003265357,-0.5908506,0.0542887,-0.3085385,-0.45319748,-0.39226606,0.09248941,-0.23906796,-0.75167155,-0.5990542,-0.39574915,-0.26475707,-0.3519018,0.20753978,1.9165918,0.8631224,-0.611994,2.4931543,-0.29579732,0.44884524,1.2778057,2.1787057,0.8556296,-0.33904952,-0.27849197,-0.4027408,0.41701442,-0.0028309552,-0.30072498,0.20129748,0.40149462,0.3719151,0.31579483,-0.3941993,-0.2460261,-0.1528962,-0.5194845,-0.20901754,-0.42640087,-0.65405005,-0.034471802,-0.594578,-0.32353336,1.5016232,0.96061194,-0.76850235,1.5249621,-0.67489594,-0.56435853,0.4075222,1.1545587,-0.23516835,-0.46959692,-0.51160705,-0.14769742,-0.30745223,-0.29750642,1.2552543,0.14115153,0.7429278,-0.32009152,0.6172556,-0.08140049,0.5122761,1.7244292,-0.36139408,0.8523835,1.6425877,-0.08386345,-0.7042038
4,compiler.codegen.TestLongDoubleVect,0.82745475,0.49035046,0.62368834,-0.2976616,-0.20829588,-0.843241,-0.9289078,-0.39493862,-0.35771438,-0.06966898,-0.5460562,-0.70685446,0.4055117,-0.12646139,-0.5942279,0.72814506,-0.4051364,0.8202217,-0.22062053,0.8704616,2.104902,-0.48895624,-0.7172659,-0.7567589,0.5903188,-0.6777814,-0.41946235,0.4688231,-0.4047631,-0.6773431,-0.019575028,-0.38477358,0.023278581,0.12305519,-0.42223573,-0.5082141,0.056805506,-0.2580639,-0.8749454,-0.46244046,-0.53222054,-0.22986452,-0.37700522,1.3228993,1.7152154,0.9708049,-0.573111,1.1629049,-0.51697004,0.39149144,1.8171724,1.9621366,0.3509984,-0.1598631,-0.46620792,-0.7620642,-0.2521151,0.012238834,-0.3109058,0.31889564,0.2262146,-0.28792012,0.25856316,-0.4537007,-0.3693286,-0.47581878,-0.8726515,-0.5307055,-0.43233785,-0.6423368,0.634534,-0.77213806,-0.4188898,1.4778178,1.2664883,-0.42194307,0.7098266,-0.41324052,-0.44981098,0.34775373,0.85832274,-0.4197826,-0.46852702,-0.57939607,-0.69257724,-0.67778707,-0.39522192,1.003061,-0.38256362,0.92977923,-0.5019819,0.69439083,0.21632548,1.4478405,1.2568057,-0.43185195,0.574858,1.517015,0.06601283,-0.7424363
5,TestLogTouchedMethods,-0.17405014,1.7082647,0.93985754,-0.007877458,0.1084852,-0.38601142,-0.5898348,-0.546531,-0.5451356,-0.0008247765,-0.65446943,0.009214001,1.158868,-0.115367495,-0.28507707,1.2227019,-0.48727483,0.6764878,0.030553646,1.2443386,1.6639138,-0.24967484,-0.5294983,-0.58527523,0.902769,-0.2054635,-0.4899011,0.2782342,-0.21512319,-0.58280164,-0.37735957,-0.6914591,-0.22722614,-0.20019916,-0.31141946,-0.27702415,0.3973746,-0.41515777,-0.709413,-0.82008,-0.38160577,-0.18399145,-0.20205781,0.20639561,1.1514729,1.0818546,-0.6979136,2.1601844,-0.59949684,0.7568558,1.7529548,1.3490648,0.8046522,-0.5285615,0.60870284,-0.0922685,-0.19091275,-0.5319145,-0.40077344,-0.2023017,0.30273834,1.5356233,0.10579827,-0.57181305,-0.34480086,0.17153655,0.014068292,-0.3306125,-0.2746583,-0.6714013,0.11753264,-0.67181176,-0.38947314,0.6915317,0.9483535,-0.89064497,1.4889234,-0.8978601,-0.61778665,1.2692033,1.3428382,0.49381098,-0.43765453,-0.48417875,0.10960524,-0.58925676,-0.28289863,1.0471019,0.83492243,0.3218703,-0.26309153,0.7830997,-0.3508828,-0.055351038,2.343051,-0.38682598,0.9221207,1.0877305,-0.41909537,-1.040813
6,compiler.exceptions.CatchInlineExceptions,0.44588304,0.57468706,0.46704164,-0.2013736,0.24480893,-0.7415918,-0.44633526,-0.56004286,-0.54915965,-0.114681594,-0.51016945,-0.4574645,1.0822581,-0.14555849,-0.7120328,0.2303055,-0.115870364,0.89014256,-0.13757093,0.6085282,1.6336372,-0.4469271,-0.67481107,-0.7020172,0.48703265,-0.31321907,-0.4250197,0.03825559,-0.42162037,-0.62648886,-0.11171584,-0.21771689,-0.18217583,-0.47044122,-0.4735177,-0.524265,-0.15018678,0.26262918,-1.0055932,-0.8669551,-0.40401167,-0.3548432,-0.40224713,0.19992827,1.6812813,1.4687549,-0.64263856,2.0378237,-0.31090125,0.76995075,3.4483266,1.5502768,0.5520151,-0.43704367,-0.2219548,-0.5896029,0.3463474,-0.23478238,-0.4197265,-0.16805618,0.5513469,0.07209954,0.11161621,-0.5152494,-0.34236532,0.08766613,-0.48052818,-0.55346286,-0.39035025,-0.79357773,-0.25545374,-0.9087425,-0.49047473,1.063974,0.33129808,-0.8292619,1.313465,-0.70517457,-0.6513124,0.31132564,1.4402996,-0.40263274,-0.47644642,-0.23134169,0.1396773,-0.57306427,-0.38722923,0.7438285,0.5096756,0.5097747,-0.3038564,0.28919157,-0.3888603,0.71113586,1.7590451,-0.42536414,0.8423764,0.9655198,-0.092659384,-0.8750391
7,compiler.arraycopy.TestArrayCloneBadAssert,0.94446725,0.662743,1.4184766,0.08653378,-0.34251103,-0.49290743,-0.68943685,-0.23830023,-0.41452405,-0.2446238,-0.54342556,-0.7089887,0.6328389,-0.120341524,-0.65262926,1.3521132,-0.6065488,0.795698,-0.31586865,0.6764514,2.539184,-0.3642761,-0.78846,-0.652886,0.3431247,-0.57777756,-0.3876478,0.14875264,-0.41597077,-0.67706484,0.07188556,-0.7039579,-0.13422064,0.27513063,-0.3963878,-0.43879098,0.050730396,-0.1568989,-0.98677194,-0.70004326,-0.5096139,-0.23789744,-0.37892482,2.1333268,1.1896178,0.8976981,-0.6015085,0.94309026,-0.3169057,0.33106887,1.8643465,1.3904392,0.8373361,-0.14264253,-0.336327,-0.85726196,-0.48801002,0.17131466,-0.36864856,0.5162685,0.045143235,0.13890044,0.115262635,-0.46354243,-0.31310308,-0.27832296,-0.61166024,-0.39644432,-0.46701893,-0.6443481,0.54902786,-0.7915324,-0.40307924,0.7523166,1.0582652,-0.6337257,0.5376524,-0.55912375,-0.48622936,0.5653742,0.73708826,-0.332318,-0.5748762,-0.68548864,-0.6033375,-0.8019387,-0.3943634,0.7733832,-0.058912665,0.9694564,-0.56320375,0.8572404,0.2603144,0.8431557,1.5661937,-0.46510184,0.38659436,1.5026152,-0.16916768,-0.75312835
8,compiler.c2.Test6910484,0.9078559,1.009872,0.48042265,-0.19763812,-0.28012604,-0.5808855,-0.9629159,-0.27436948,-0.50915766,-0.061931983,-0.52818483,-0.4907261,0.73402077,-0.08395799,-0.68443584,0.25752112,-0.21356088,1.614619,-0.1718783,0.77052504,1.9053736,-0.5552649,-0.6344267,-0.7418885,1.1432204,-0.6224004,-0.19106515,0.3029279,-0.38168308,-0.64212,0.48176903,-0.06457524,-0.09906769,-0.2740701,-0.40371284,-0.40294752,0.12507339,-0.015700357,-1.0559802,-0.65018934,-0.4637591,-0.4022873,-0.40863305,1.3925222,1.4235705,1.3893976,-0.6014915,1.38999,-0.4938224,0.79959023,2.8061602,1.7130294,0.47754657,-0.21458428,-0.5993196,-0.7549401,-0.21995716,0.17762518,-0.43386206,0.15944499,0.2496757,0.049573123,0.12892126,-0.6037146,-0.29387587,-0.3163111,-0.78303975,-0.6233637,-0.47299945,-0.7166707,-0.08458411,-0.9189448,-0.44245362,1.2993718,0.6333343,-0.7641133,0.7994259,-0.50143516,-0.56282175,0.5225329,0.98107463,-0.36297518,-0.4411576,-0.61896753,-0.54004174,-0.69988537,-0.41718575,0.9922054,0.11603257,0.9465815,-0.46911904,0.7321353,0.36533514,1.0329407,1.3590795,-0.4277987,0.50227314,1.3794645,0.027227908,-0.65494525
9,compiler.c2.Test6851282,0.12671572,0.70919627,1.1172397,0.19148636,0.24456206,-0.5060173,0.0819081,-0.3715503,-0.39902,-0.20516048,-0.46140647,-0.5623516,1.1340058,-0.14170949,-0.55274427,1.0733083,-0.46110162,0.5139242,-0.1600127,0.66871625,1.6549207,-0.35483986,-0.6228374,-0.6516439,0.3120623,-0.28976756,-0.4361327,0.112605356,-0.36105722,-0.57959366,-0.2765762,-0.5996249,-0.15846245,-0.1573138,-0.22358145,-0.41623998,0.031645436,-0.23364966,-0.7706353,-0.6665123,-0.4283861,-0.12068942,-0.38445395,0.7656657,1.1571833,0.51109517,-0.5675346,2.0908341,-0.24760924,0.35257185,1.2686352,1.3139884,1.3622165,-0.15846281,-0.0014137984,-0.582757,0.28053263,-0.11362866,-0.28226453,0.42607436,0.34406623,0.08739058,0.05324131,-0.36628342,-0.32342616,0.2088541,-0.3127507,-0.152261,-0.45197257,-0.623211,0.32830992,-0.5476472,-0.40925145,0.79220605,0.855417,-0.7318367,1.0620937,-0.80687344,-0.25609142,0.39389792,0.8874194,-0.29865366,-0.5142728,-0.53203034,0.02069584,-0.6011429,-0.35119095,0.69772136,-0.122829296,0.32474005,-0.30104074,0.5522653,-0.14333697,0.36526573,1.9466201,-0.4325973,0.8117623,1.1620518,-0.12392512,-0.74782777
